pdb	FR_RMS	CDR1_RMS	CDR2_RMS	CDR3_RMS
7tgfB	0.745	0.377	0.741	2.627
8emzB	0.409	1.453	1.098	1.775
8h3xA	1.62	1.165	0.974	2.571
8gz5B	1.208	2.945	2.18	2.18
8cwuB	3.971	4.042	3.379	4.136
7x2mB	0.392	0.843	0.743	0.623
7voaA	0.75	0.913	0.707	2.695
7ubxC	0.688	0.339	0.38	1.656
7th2C	1.958	1.749	1.555	2.678
8en2D	0.618	1.576	1.212	1.453
8ew6V	0.382	0.454	0.738	2.342
7yz9B	1.263	4.108	3.214	3.283
7w1sB	0.884	2.415	1.974	1.735
7zmvG	0.416	1.508	1.265	6.404
7unzA	0.594	3.348	2.57	5.112
8en3C	0.825	1.615	1.606	2.558
7tgiB	2.138	6.879	6.562	6.731
7nxxB	1.278	3.1	2.671	2.853
8dtnE	1.216	3.179	4.52	5.84
8h3yE	0.558	0.793	0.848	1.394
7q3qB	0.532	1.751	2.588	2.797
7tprE	2.501	3.344	2.973	13.234
7x2jB	0.388	0.856	0.72	3.164
7b5gD	0.667	1.88	1.446	1.14
7x2lB	1.407	2.272	2.061	2.126
8dtuA	1.759	2.516	3.169	5.301
8dquB	0.542	0.576	0.655	1.294
7uiaB	0.838	1.226	1.7	5.897
7t5fF	0.68	4.807	4.418	4.305
7wkiB	0.473	2.284	1.847	4.268
7x7eA	1.165	0.628	0.543	3.078
7qbgE	1.066	2.614	2.097	2.128
7wd2D	0.625	0.712	0.785	3.604
7qneG	0.869	1.77	1.438	1.834
7r24E	0.482	1.526	1.163	1.624
7r24C	0.87	1.902	1.836	1.903
7xqvB	1.348	5.28	4.766	5.566
7whiG	1.034	1.703	2.686	2.719
8bb7D	0.766	0.433	0.4	0.816
8en0D	1.777	4.424	3.787	3.905
