pdb	rank	FR_RMS	CDR1_RMS	CDR2_RMS	CDR3_RMS
7b5gD	1	0.811	1.759	1.357	1.028
7b5gD	2	0.755	1.76	1.352	1.023
7b5gD	3	0.764	1.799	1.385	1.05
7b5gD	4	0.777	1.73	1.339	1.013
7b5gD	5	0.805	1.808	1.4	1.081
7b5gD	6	0.763	1.776	1.367	1.033
7b5gD	7	0.782	2.085	1.589	1.204
7b5gD	8	0.801	2.562	1.938	1.423
7b5gD	9	0.78	2.097	1.604	1.217
7b5gD	10	0.772	1.992	1.528	1.156
7b5gD	11	0.712	1.85	1.427	1.081
7b5gD	12	0.725	1.977	1.514	1.14
7b5gD	13	0.707	1.985	1.513	1.174
7b5gD	14	0.706	1.862	1.436	1.083
7b5gD	15	0.721	1.941	1.486	1.118
7b5gD	16	0.713	1.9	1.46	1.101
7b5gD	17	0.713	1.939	1.488	1.126
7b5gD	18	0.722	2.182	1.652	1.246
7b5gD	19	0.707	1.835	1.415	1.065
7b5gD	20	0.732	1.823	1.401	1.081
7b5gD	21	0.715	1.828	1.409	1.061
7b5gD	22	0.804	1.911	1.472	1.136
7b5gD	23	0.704	1.84	1.418	1.073
7b5gD	24	0.727	2.078	1.565	1.204
7b5gD	25	0.714	1.92	1.467	1.126
7nxxB	1	1.325	2.204	2.01	1.749
7nxxB	2	1.324	1.95	1.873	1.826
7nxxB	3	1.342	2.114	1.927	1.657
7nxxB	4	1.22	3.248	2.921	2.272
7nxxB	5	1.252	2.25	2.185	1.875
7nxxB	6	1.324	2.39	2.184	3.077
7nxxB	7	1.344	2.071	1.937	2.47
7nxxB	8	1.282	2.876	2.606	2.917
7nxxB	9	1.208	3.015	2.695	2.878
7nxxB	10	1.267	2.735	2.472	2.823
7nxxB	11	1.253	2.881	2.617	2.965
7nxxB	12	1.218	2.118	2.187	1.908
7nxxB	13	1.245	2.822	2.579	2.835
7nxxB	14	1.178	3.141	2.716	3.123
7nxxB	15	1.149	3.198	2.889	2.331
7nxxB	16	1.192	3.314	2.858	3.197
7nxxB	17	1.188	3.015	2.628	3.094
7nxxB	18	1.177	3.076	2.672	2.965
7nxxB	19	1.162	3.215	2.778	3.13
7nxxB	20	1.217	3.203	2.855	4.285
7nxxB	21	1.217	3.172	2.855	4.273
7nxxB	22	1.219	3.223	2.946	2.956
7nxxB	23	1.219	3.046	2.767	3.968
7nxxB	24	1.221	3.201	2.845	3.799
7nxxB	25	1.215	3.193	2.885	4.211
7q3qB	1	0.623	0.36	1.939	2.584
7q3qB	2	0.633	0.386	1.928	2.61
7q3qB	3	0.629	0.369	1.9	2.584
7q3qB	4	0.631	0.384	1.921	2.595
7q3qB	5	0.634	0.354	1.91	2.583
7q3qB	6	0.636	0.399	1.928	3.505
7q3qB	7	0.671	0.425	1.893	2.692
7q3qB	8	0.655	0.519	1.792	2.942
7q3qB	9	0.654	0.502	1.74	2.898
7q3qB	10	0.668	0.367	1.994	2.997
7q3qB	11	0.661	0.496	1.711	2.761
7q3qB	12	0.633	0.345	1.795	3.211
7q3qB	13	0.654	0.532	1.79	2.728
7q3qB	14	0.667	0.355	1.946	2.507
7q3qB	15	0.667	0.332	1.948	3.009
7q3qB	16	0.668	0.326	1.966	2.739
7q3qB	17	0.634	0.326	1.812	2.61
7q3qB	18	0.641	0.292	1.911	2.362
7q3qB	19	0.644	0.281	1.888	2.582
7q3qB	20	0.672	0.256	1.941	2.723
7q3qB	21	0.65	0.406	1.798	2.638
7q3qB	22	0.649	0.416	1.846	2.648
7q3qB	23	0.644	0.395	1.767	2.62
7q3qB	24	0.639	0.432	1.801	2.656
7q3qB	25	0.656	0.4	1.815	2.681
7q6cH	1	1.99	3.32	3.115	3.423
7q6cH	2	2.01	3.343	3.114	3.451
7q6cH	3	1.925	3.197	3.016	3.541
7q6cH	4	2.496	4.16	3.887	4.273
7q6cH	5	1.931	3.22	3.013	3.373
7q6cH	6	2.666	4.487	4.154	4.515
7q6cH	7	1.821	2.994	2.828	3.207
7q6cH	8	2.625	4.426	4.104	4.419
7q6cH	9	2.609	4.382	4.085	4.417
7q6cH	10	2.583	4.321	4.027	4.254
7q6cH	11	2.196	3.482	3.323	3.668
7q6cH	12	1.25	1.705	1.8	2.457
7q6cH	13	1.25	1.675	1.772	2.438
7q6cH	14	2.169	3.31	3.25	3.708
