pdb	cluster_id	centroid_file
7b5gD	0	7b5g_D_C_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000_nanobody
7b5gD	1	7b5g_D_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_003_nanobody
7b5gD	2	imbuilder_7b5gD_rank3
7b5gD	3	7b5g_D_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_004
7b5gD	4	imbuilder_7b5gD_rank2
7b5gD	5	7b5g_D_C_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_004_nanobody
7b5gD	6	imbuilder_7b5gD_rank1
7b5gD	7	imbuilder_7b5gD_rank0
7nxxB	0	imbuilder_7nxxB_rank1
7nxxB	1	7nxx_B_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_004
7nxxB	2	7nxx_B_unrelaxed_rank_011_alphafold2_ptm_model_3_seed_003
7nxxB	3	imbuilder_7nxxB_rank3
7nxxB	4	7nxx_B_unrelaxed_rank_020_alphafold2_ptm_model_2_seed_000
7nxxB	5	imbuilder_7nxxB_rank2
7nxxB	6	7nxx_B_unrelaxed_rank_014_alphafold2_ptm_model_1_seed_003
7q3qB	0	7q3q_B_unrelaxed_rank_006_alphafold2_ptm_model_2_seed_002
7q3qB	1	7q3q_B_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_002
7q3qB	2	imbuilder_7q3qB_rank2
7q3qB	3	7q3q_B_A_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
7q3qB	4	imbuilder_7q3qB_rank0
7qbgE	0	7qbg_E_unrelaxed_rank_017_alphafold2_ptm_model_2_seed_004
7qbgE	1	7qbg_E_C_B_unrelaxed_rank_007_alphafold2_multimer_v3_model_1_seed_003_nanobody
7qbgE	2	7qbg_E_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_004
7qneG	0	7qne_G_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000
7qneG	1	7qne_G_unrelaxed_rank_024_alphafold2_ptm_model_2_seed_000
7qneG	2	7qne_G_unrelaxed_rank_012_alphafold2_ptm_model_3_seed_003
7qneG	3	imbuilder_7qneG_rank3
7r24C	0	imbuilder_7r24C_rank2
7r24C	1	7r24_C_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_002
7r24C	2	imbuilder_7r24C_rank0
7r24E	0	7r24_E_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_003_nanobody
7r24E	1	7r24_E_A_unrelaxed_rank_022_alphafold2_multimer_v3_model_1_seed_001_nanobody
7r24E	2	7r24_E_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_002
7t5fF	0	7t5f_F_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_001
7t5fF	1	7t5f_F_unrelaxed_rank_023_alphafold2_ptm_model_5_seed_002
7t5fF	2	7t5f_F_D_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000_nanobody
7tgfB	0	7tgf_B_A_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000_nanobody
7tgfB	1	7tgf_B_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_002
7tgfB	2	imbuilder_7tgfB_rank1
7tgfB	3	imbuilder_7tgfB_rank3
7tgfB	4	imbuilder_7tgfB_rank2
7tgiB	0	7tgi_B_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_003
7tgiB	1	7tgi_B_A_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_002_nanobody
7tgiB	2	7tgi_B_unrelaxed_rank_015_alphafold2_ptm_model_2_seed_004
7tgiB	3	7tgi_B_A_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_001_nanobody
7tgiB	4	7tgi_B_A_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_002_nanobody
7tgiB	5	imbuilder_7tgiB_rank2
7tgiB	6	imbuilder_7tgiB_rank1
7tgiB	7	7tgi_B_A_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_001_nanobody
7tgiB	8	7tgi_B_A_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002_nanobody
7th2C	0	7th2_C_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_004
7th2C	1	imbuilder_7th2C_rank3
7th2C	2	imbuilder_7th2C_rank0
7tprE	0	7tpr_E_unrelaxed_rank_015_alphafold2_ptm_model_2_seed_000
7tprE	1	imbuilder_7tprE_rank0
7tprE	2	7tpr_E_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_003
7tprE	3	7tpr_E_C_unrelaxed_rank_019_alphafold2_multimer_v3_model_2_seed_002_nanobody
7tprE	4	7tpr_E_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_002
7tprE	5	7tpr_E_unrelaxed_rank_022_alphafold2_ptm_model_1_seed_001
7tprE	6	7tpr_E_C_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_002_nanobody
7tprE	7	7tpr_E_C_unrelaxed_rank_007_alphafold2_multimer_v3_model_3_seed_000_nanobody
7tprE	8	7tpr_E_unrelaxed_rank_019_alphafold2_ptm_model_4_seed_001
7tprE	9	imbuilder_7tprE_rank3
7tprE	10	7tpr_E_C_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_001_nanobody
7tprE	11	7tpr_E_unrelaxed_rank_014_alphafold2_ptm_model_4_seed_004
7tprE	12	imbuilder_7tprE_rank1
7tprE	13	7tpr_E_unrelaxed_rank_009_alphafold2_ptm_model_4_seed_000
7ubxC	0	7ubx_C_B_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_002_nanobody
7ubxC	1	7ubx_C_B_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_000_nanobody
7ubxC	2	7ubx_C_unrelaxed_rank_008_alphafold2_ptm_model_1_seed_001
7ubxC	3	7ubx_C_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_001_nanobody
7ubxC	4	7ubx_C_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_002
7ubxC	5	imbuilder_7ubxC_rank1
7ubxC	6	imbuilder_7ubxC_rank3
7ubxC	7	7ubx_C_unrelaxed_rank_020_alphafold2_ptm_model_2_seed_001
